seed_id,target,program_structure,concrete_opcode_or_interaction,instruction_family,input,native_verify_accept,executed_steps,register_writebacks,static_writeback_sites,main_symbol_range,opcode_census,guest_source,guest_elf
op_srl,openvm,Single operation,SRL,base-ALU,"a=0x87654321, b=0x12345678 (see driver)",true,7,NA,NA,NA (whole program is the seed),NA,<upstream>/openvm/extensions/rv32im/tests/src/lacuna_eval.rs::build_words,NA (built in-process)
op_sub,openvm,Single operation,SUB,base-ALU,"a=0x87654321, b=0x12345678 (see driver)",true,7,NA,NA,NA (whole program is the seed),NA,<upstream>/openvm/extensions/rv32im/tests/src/lacuna_eval.rs::build_words,NA (built in-process)
op_xor,openvm,Single operation,XOR,base-ALU,"a=0x87654321, b=0x12345678 (see driver)",true,7,NA,NA,NA (whole program is the seed),NA,<upstream>/openvm/extensions/rv32im/tests/src/lacuna_eval.rs::build_words,NA (built in-process)
op_add,ceno,Single operation,ADD,base-ALU,"a=0x5A5, b=13",true,11,9,9,NA (whole program is the seed),NA,<upstream>/ceno/ceno_zkvm/src/lacuna_eval.rs::build_op_program:84-108,NA (built in-process)
op_and,ceno,Single operation,AND,base-ALU,"a=0x5A5, b=13",true,11,9,9,NA (whole program is the seed),NA,<upstream>/ceno/ceno_zkvm/src/lacuna_eval.rs::build_op_program:84-108,NA (built in-process)
op_div,ceno,Single operation,DIV,M-extension,"a=0x5A5, b=13",true,11,9,9,NA (whole program is the seed),NA,<upstream>/ceno/ceno_zkvm/src/lacuna_eval.rs::build_op_program:84-108,NA (built in-process)
op_divu,ceno,Single operation,DIVU,M-extension,"a=0x5A5, b=13",true,11,9,9,NA (whole program is the seed),NA,<upstream>/ceno/ceno_zkvm/src/lacuna_eval.rs::build_op_program:84-108,NA (built in-process)
op_mul,ceno,Single operation,MUL,M-extension,"a=0x5A5, b=13",true,11,9,9,NA (whole program is the seed),NA,<upstream>/ceno/ceno_zkvm/src/lacuna_eval.rs::build_op_program:84-108,NA (built in-process)
op_mulh,ceno,Single operation,MULH,M-extension,"a=0x5A5, b=13",true,11,9,9,NA (whole program is the seed),NA,<upstream>/ceno/ceno_zkvm/src/lacuna_eval.rs::build_op_program:84-108,NA (built in-process)
op_mulhsu,ceno,Single operation,MULHSU,M-extension,"a=0x5A5, b=13",true,11,9,9,NA (whole program is the seed),NA,<upstream>/ceno/ceno_zkvm/src/lacuna_eval.rs::build_op_program:84-108,NA (built in-process)
op_mulhu,ceno,Single operation,MULHU,M-extension,"a=0x5A5, b=13",true,11,9,9,NA (whole program is the seed),NA,<upstream>/ceno/ceno_zkvm/src/lacuna_eval.rs::build_op_program:84-108,NA (built in-process)
op_or,ceno,Single operation,OR,base-ALU,"a=0x5A5, b=13",true,11,9,9,NA (whole program is the seed),NA,<upstream>/ceno/ceno_zkvm/src/lacuna_eval.rs::build_op_program:84-108,NA (built in-process)
op_rem,ceno,Single operation,REM,M-extension,"a=0x5A5, b=13",true,11,9,9,NA (whole program is the seed),NA,<upstream>/ceno/ceno_zkvm/src/lacuna_eval.rs::build_op_program:84-108,NA (built in-process)
op_remu,ceno,Single operation,REMU,M-extension,"a=0x5A5, b=13",true,11,9,9,NA (whole program is the seed),NA,<upstream>/ceno/ceno_zkvm/src/lacuna_eval.rs::build_op_program:84-108,NA (built in-process)
op_sll,ceno,Single operation,SLL,base-ALU,"a=0x5A5, b=13",true,11,9,9,NA (whole program is the seed),NA,<upstream>/ceno/ceno_zkvm/src/lacuna_eval.rs::build_op_program:84-108,NA (built in-process)
op_slt,ceno,Single operation,SLT,base-ALU,"a=0x5A5, b=13",true,11,9,9,NA (whole program is the seed),NA,<upstream>/ceno/ceno_zkvm/src/lacuna_eval.rs::build_op_program:84-108,NA (built in-process)
